energy_meV,median,lower,upper
64.0,9.856867795338298,8.881711881396217,10.938444553968537
65.0,9.919324840525837,8.929805219543722,11.011289155517073
66.0,9.98139107784925,8.977339680171127,11.08360141837049
67.0,10.043073752893795,9.024309233811675,11.155470834550194
68.0,10.104379890085287,9.070759972059678,11.227079762828211
69.0,10.165316302026985,9.11698366690433,11.298100825482488
70.0,10.22588959833575,9.162948326450456,11.368362038651306
71.0,10.286106194009808,9.208753429541495,11.438863770046684
72.0,10.34597231735822,9.254568875352433,11.509183580509665
73.0,10.405494017519699,9.299663453020822,11.578544382720695
74.0,10.464677171596549,9.34431444207546,11.64760613950453
75.0,10.523527491427464,9.388589565635412,11.716627576596645
76.0,10.582050530021355,9.43310657120052,11.785103287431067
77.0,10.640251687672663,9.477492380795843,11.853240393068338
78.0,10.698136217777218,9.521351333608846,11.920735421977215
79.0,10.75570923236642,9.564765242546894,11.98785709781283
80.0,10.812975707376207,9.608197658386187,12.054865581427956
81.0,10.869940487666144,9.651806378027985,12.121516727043954
82.0,10.926608291803054,9.695314389732216,12.187894918605569
83.0,10.982983716622499,9.738481794513438,12.253504984213542
84.0,11.039071241580546,9.780926435193594,12.318767928628194
85.0,11.094875232907592,9.823527913860904,12.384297236459478
86.0,11.150399947575066,9.865879391769727,12.449037347535532
87.0,11.205649537085195,9.908431446570031,12.51363446148889
88.0,11.26062805109348,9.950561993576116,12.578060892833017
89.0,11.315339440872686,9.992168625217234,12.642117176639298
90.0,11.36978756262687,10.033458323495015,12.706047542362645
91.0,11.423976180663209,10.074919881185286,12.769497125132542
92.0,11.477908970429064,10.116210629697678,12.832455076975815
93.0,11.53158952142122,10.157095929536847,12.895102207849428
94.0,11.585021339973759,10.198083938317088,12.957677714875008
95.0,11.638207851930769,10.23837214753256,13.019734155251212
96.0,11.69115240520962,10.278725891217652,13.08184380606716
97.0,11.743858272260201,10.318895953765978,13.143760682043116
98.0,11.796328652425299,10.359002042413456,13.205232626098667
