,energies_meV,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,    ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,        ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40
20.0,20.5,0.01481139811398114,0.0,0.012735752357523574,0.013376383763837638,0.015503280032800328,0.017899241492414925,0.020730832308323083,0.010006662566625666,0.015567343173431735,0.015157339073390733,0.022793665436654367,0.013440446904469045,0.014580770807708077,0.019910824108241083,0.013632636326363263,0.016054223042230423,0.0,0.01693829438294383,0.010467917179171792,0.009993849938499385,0.016361726117261173,0.012505125051250513,0.012838253382533825,0.011082923329233293,0.016861418614186142,0.019898011480114802,0.01369669946699467,0.0,0.01208230832308323,0.013312320623206232,0.0113519885198852,0.010916359163591636,0.011966994669946699,0.01208230832308323,0.010941984419844198,0.011377613776137762,0.0,0.015157339073390733,0.013337945879458794,0.00891758917589176,0.00831539565395654
21.0,21.5,0.009199466994669947,0.0,0.008366646166461664,0.009212279622796228,0.010429479294792947,0.0123769987699877,0.013773575235752358,0.00639350143501435,0.011556990569905699,0.010006662566625666,0.015682656826568265,0.009660721607216071,0.01066010660106601,0.014081078310783108,0.009442906929069291,0.01115979909799098,0.0,0.012735752357523574,0.007034132841328413,0.006060373103731038,0.010801045510455104,0.008341020910209102,0.008674149241492415,0.008097580975809758,0.011339175891758918,0.013402009020090202,0.008546022960229603,0.0,0.00791820418204182,0.00891758917589176,0.007726014760147602,0.007623513735137351,0.008136018860188603,0.00821289462894629,0.007187884378843788,0.00740569905699057,0.0,0.009558220582205823,0.009378843788437884,0.0064191266912669125,0.005522242722427224
22.0,22.5,0.0064447519475194755,0.0,0.006367876178761787,0.006316625666256663,0.00790539155391554,0.007841328413284132,0.009032902829028291,0.004830360803608036,0.007841328413284132,0.006572878228782288,0.011300738007380073,0.00680350553505535,0.007136633866338663,0.009391656416564165,0.006034747847478475,0.00791820418204182,0.0,0.008891963919639196,0.004356293562935629,0.004343480934809348,0.00700850758507585,0.005573493234932349,0.006009122591225912,0.005368491184911849,0.00791820418204182,0.009007277572775727,0.006560065600656006,0.0,0.004984112341123411,0.005740057400574006,0.0052275522755227555,0.005368491184911849,0.004855986059860599,0.005368491184911849,0.0048047355473554735,0.00527880278802788,0.0,0.006470377203772038,0.006342250922509225,0.004151291512915129,0.0036900369003690036
23.0,23.5,0.004215354653546536,0.0,0.004292230422304223,0.00406160311603116,0.005060988109881099,0.005573493234932349,0.006867568675686757,0.0033312833128331283,0.0056759942599426,0.004689421894218942,0.007213509635096351,0.004305043050430504,0.004766297662976629,0.006688191881918819,0.00445879458794588,0.005163489134891349,0.0,0.0054197416974169745,0.003177531775317753,0.002716277162771628,0.005458179581795818,0.004151291512915129,0.004215354653546536,0.0037925379253792536,0.005945059450594506,0.006098810988109881,0.004266605166051661,0.0,0.003920664206642066,0.004240979909799098,0.00365159901599016,0.0035362853628536283,0.003715662156621566,0.004087228372283723,0.0030494054940549404,0.003805350553505535,0.0,0.004766297662976629,0.004010352603526036,0.003164719147191472,0.002447211972119721
24.0,24.5,0.003164719147191472,0.0,0.0028444034440344404,0.00263940139401394,0.0035362853628536283,0.003907851578515785,0.0044075440754407546,0.0022165846658466584,0.0039847273472734725,0.003280032800328003,0.004920049200492005,0.003177531775317753,0.0036772242722427225,0.0045741082410824105,0.003254407544075441,0.003613161131611316,0.0,0.004125666256662566,0.0021909594095940958,0.0021909594095940958,0.003459409594095941,0.0027547150471504715,0.0029084665846658467,0.002626588765887659,0.003946289462894629,0.004151291512915129,0.002831590815908159,0.0,0.0025753382533825336,0.002716277162771628,0.002447211972119721,0.00233189831898319,0.0024984624846248462,0.0029084665846658467,0.0024087740877408773,0.0025625256252562525,0.0,0.0029597170971709715,0.0027547150471504715,0.0019731447314473146,0.0016143911439114391
25.0,25.5,0.002344710947109471,0.0,0.0019218942189421894,0.001857831078310783,0.00253690036900369,0.0025753382533825336,0.0031134686346863468,0.0016272037720377205,0.0029981549815498157,0.0024087740877408773,0.003933476834768347,0.002139708897088971,0.0026009635096350962,0.003356908569085691,0.002293460434604346,0.0028444034440344404,0.0,0.002793152931529315,0.001409389093890939,0.001460639606396064,0.002524087740877409,0.0017168921689216892,0.0020243952439524394,0.001909081590815908,0.0027675276752767526,0.003023780237802378,0.0021781467814678147,0.0,0.0016784542845428455,0.0018834563345633457,0.0019731447314473146,0.0017809553095530955,0.0016912669126691268,0.001755330053300533,0.0015887658876588765,0.0016912669126691268,0.0,0.0019347068470684707,0.0020115826158261583,0.001165949159491595,0.00111469864698647
26.0,26.5,0.0017040795407954079,0.0,0.0014478269782697826,0.0013837638376383763,0.0018834563345633457,0.0019731447314473146,0.0027547150471504715,0.0011787617876178763,0.0018834563345633457,0.0020115826158261583,0.0024087740877408773,0.0018193931939319394,0.001857831078310783,0.0025112751127511273,0.0013965764657646576,0.0015375153751537515,0.0,0.0021140836408364084,0.0009993849938499384,0.0010506355063550636,0.0017425174251742518,0.0013709512095120952,0.0016272037720377205,0.0012043870438704387,0.002050020500205002,0.0018706437064370644,0.0015887658876588765,0.0,0.0011915744157441573,0.0015887658876588765,0.0010634481344813447,0.00131970069700697,0.0012043870438704387,0.0013837638376383763,0.0013068880688806889,0.0011403239032390323,0.0,0.001460639606396064,0.00131970069700697,0.000973759737597376,0.0008200082000820008
27.0,27.5,0.0013068880688806889,0.0,0.0010121976219762197,0.0009481344813448134,0.0010121976219762197,0.0014862648626486265,0.0017297047970479705,0.0008584460844608446,0.0017425174251742518,0.0011403239032390323,0.0017809553095530955,0.0009481344813448134,0.0011915744157441573,0.0016143911439114391,0.0010634481344813447,0.0014478269782697826,0.0,0.0012812628126281263,0.000730319803198032,0.0008968839688396884,0.00121719967199672,0.00121719967199672,0.0007559450594505945,0.0009096965969659697,0.00131970069700697,0.001460639606396064,0.0011018860188601886,0.0,0.000973759737597376,0.0009481344813448134,0.00121719967199672,0.0008968839688396884,0.0007943829438294383,0.0008584460844608446,0.000679069290692907,0.0008840713407134071,0.0,0.0009609471094710947,0.0011403239032390323,0.0007559450594505945,0.000679069290692907
28.0,28.5,0.0007559450594505945,0.0,0.0008328208282082821,0.0007559450594505945,0.0009609471094710947,0.0009225092250922509,0.00111469864698647,0.0006021935219352193,0.0010890733907339073,0.0009865723657236573,0.00121719967199672,0.0007046945469454695,0.0010634481344813447,0.0013068880688806889,0.0009096965969659697,0.0009993849938499384,0.0,0.001127511275112751,0.0006406314063140631,0.0005253177531775318,0.0009993849938499384,0.0009096965969659697,0.0008200082000820008,0.0008071955719557196,0.001165949159491595,0.0011403239032390323,0.0007431324313243133,0.0,0.0006662566625666256,0.0009225092250922509,0.000730319803198032,0.0006150061500615006,0.0004996924969249692,0.0007815703157031571,0.0005893808938089381,0.0006406314063140631,0.0,0.000973759737597376,0.0008840713407134071,0.0007046945469454695,0.0006406314063140631
29.0,29.5,0.000679069290692907,0.0,0.0006534440344403444,0.0005637556375563755,0.0006406314063140631,0.0006278187781877818,0.0009865723657236573,0.0005893808938089381,0.0008456334563345634,0.0006150061500615006,0.0009481344813448134,0.0007559450594505945,0.0007559450594505945,0.0009225092250922509,0.0006406314063140631,0.0007559450594505945,0.0,0.0007559450594505945,0.0006534440344403444,0.0004484419844198442,0.000730319803198032,0.0005125051250512505,0.0008071955719557196,0.0006918819188191881,0.0007046945469454695,0.0008456334563345634,0.0005125051250512505,0.0,0.0005765682656826568,0.0008712587125871259,0.0006021935219352193,0.0005253177531775318,0.0005509430094300943,0.000730319803198032,0.00043562935629356294,0.000538130381303813,0.0,0.000538130381303813,0.0005893808938089381,0.000538130381303813,0.000486879868798688
