energy_mev,eta_tot_lower,eta_tot_median,eta_tot_upper,eta_a_lower,eta_a_median,eta_a_upper,eta_f_lower,eta_f_median,eta_f_upper,eta_c_lower,eta_c_median,eta_c_upper,eta_o_lower,eta_o_median,eta_o_upper,eta_t_lower,eta_t_median,eta_t_upper,a_abs
103.5308989,0.034206903,0.055595163,0.067169887,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.438570222,0.669844065,0.75063934,0.39,0.46,0.53,0.882653342,0.886109778,0.889566214,0.266687176
103.5906712,0.035751852,0.056078538,0.067585742,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.457743137,0.673439973,0.751132391,0.39,0.46,0.53,0.883826332,0.887250329,0.890674327,0.267225554
103.6504435,0.037120428,0.056524548,0.067986229,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.474575445,0.676429579,0.751512113,0.39,0.46,0.53,0.884999322,0.88839088,0.891782439,0.267816164
103.7102158,0.038336945,0.056944887,0.068378817,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.4893364,0.678931075,0.751802315,0.39,0.46,0.53,0.886172312,0.889531431,0.892890551,0.268468982
103.769988,0.039417213,0.057338613,0.06875749,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.502279947,0.681036003,0.752021131,0.39,0.46,0.53,0.887308882,0.890636566,0.893964249,0.269155311
103.8297603,0.040310315,0.057611331,0.069005568,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.513637586,0.682815981,0.752182539,0.39,0.46,0.53,0.88788325,0.891194983,0.894506715,0.269561499
103.889545,0.041099863,0.057865652,0.069243377,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.523617637,0.684327856,0.752297453,0.39,0.46,0.53,0.888457738,0.891753516,0.895049294,0.269984089
103.9493173,0.041799882,0.0581039,0.069471538,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.532397272,0.685616078,0.752374402,0.39,0.46,0.53,0.889032106,0.892311933,0.89559176,0.27041698
104.009102,0.042420846,0.058325108,0.069687177,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.54013787,0.686717405,0.752420229,0.39,0.46,0.53,0.889573553,0.892838344,0.896103134,0.270851368
104.0688743,0.0429064,0.058440041,0.069782449,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.546972496,0.687660707,0.752440367,0.39,0.46,0.53,0.889562725,0.892827816,0.896092908,0.271016016
104.1286466,0.043341837,0.058555151,0.069883484,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.553020144,0.688470146,0.752439229,0.39,0.46,0.53,0.889551896,0.892817289,0.896082682,0.271233776
104.1884189,0.043735889,0.05867242,0.069991752,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.558381553,0.689165362,0.752420385,0.39,0.46,0.53,0.889541068,0.892806762,0.896072456,0.271506017
104.2481912,0.044090035,0.058785626,0.070099115,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.563143169,0.689762583,0.752386756,0.39,0.46,0.53,0.889507576,0.892774201,0.896040826,0.271804257
104.3079758,0.044346324,0.058811109,0.070105279,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.567380009,0.690275401,0.752340731,0.39,0.46,0.53,0.8890226,0.892302696,0.895582791,0.271863643
104.3677481,0.04456802,0.058827973,0.070104123,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.571154037,0.690714881,0.752284314,0.39,0.46,0.53,0.888537725,0.891831288,0.895124851,0.271912227
104.4275204,0.044757669,0.058834633,0.070093354,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.574520958,0.691090609,0.752219141,0.39,0.46,0.53,0.88805285,0.891359881,0.894666911,0.271938902
104.4872927,0.044918031,0.058830616,0.070072082,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.577527939,0.691410581,0.752146585,0.39,0.46,0.53,0.887556813,0.890877619,0.894198425,0.271941626
104.5470774,0.045012997,0.058765305,0.069979765,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.580216195,0.691681622,0.752067777,0.39,0.46,0.53,0.886758109,0.890101031,0.893443953,0.27177019
104.6068497,0.045089483,0.058697342,0.069886019,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.582619774,0.691909388,0.751983713,0.39,0.46,0.53,0.885959571,0.889324604,0.892689637,0.271603443
104.666622,0.045149379,0.058626542,0.069790418,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.584769707,0.692098861,0.751895187,0.39,0.46,0.53,0.885161032,0.888548176,0.89193532,0.271438554
104.7263943,0.045191839,0.0585496,0.069688854,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.586692401,0.692254256,0.751802883,0.39,0.46,0.53,0.884361684,0.887770962,0.891180239,0.271258732
104.786179,0.045191163,0.058431404,0.069539401,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.58841114,0.692379219,0.751707356,0.39,0.46,0.53,0.8833963,0.886832194,0.890268087,0.270948787
104.8459512,0.045170102,0.058299949,0.06937526,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.589945188,0.692476812,0.751609133,0.39,0.46,0.53,0.882431116,0.88589362,0.889356125,0.270587503
104.9057235,0.045130373,0.058156065,0.069197309,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.591312335,0.692549751,0.751508605,0.39,0.46,0.53,0.881465931,0.884955047,0.888444162,0.27017751
104.9654958,0.045076508,0.058004408,0.069010996,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.59252778,0.692600355,0.751406118,0.39,0.46,0.53,0.880500747,0.884016473,0.887532199,0.269739346
105.0252805,0.045003855,0.057837955,0.068807887,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.593605012,0.69263063,0.751301941,0.39,0.46,0.53,0.879462205,0.883006428,0.886550652,0.269261175
105.0850528,0.044927606,0.057675366,0.068610113,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.594555194,0.692642291,0.751196359,0.39,0.46,0.53,0.878420471,0.881993274,0.885566078,0.26880816
105.1448251,0.044850487,0.057519309,0.068420781,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.595388712,0.692636836,0.751089552,0.39,0.46,0.53,0.877378737,0.88098012,0.884581503,0.268391237
105.2045974,0.044771472,0.057367759,0.06823743,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.596114436,0.692615546,0.750981685,0.39,0.46,0.53,0.876337003,0.879966966,0.883596928,0.268000528
105.2643821,0.044683447,0.057210998,0.068048453,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.596740228,0.692579509,0.750872868,0.39,0.46,0.53,0.87526751,0.878926672,0.882585834,0.267598458
105.3241544,0.044587588,0.057050039,0.067855018,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.597272573,0.692529672,0.750763251,0.39,0.46,0.53,0.874195755,0.877884165,0.881572576,0.267181703
105.3839266,0.044483838,0.056884366,0.067656476,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.597717469,0.692466818,0.750652889,0.39,0.46,0.53,0.873124,0.876841659,0.880559318,0.266746755
105.4436989,0.044374398,0.056716408,0.06745569,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598079978,0.692391601,0.750541837,0.39,0.46,0.53,0.872052244,0.875799152,0.879546059,0.266304666
105.5034836,0.044258313,0.056544614,0.067250788,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598364498,0.692304538,0.750430107,0.39,0.46,0.53,0.870949493,0.874726352,0.878503211,0.265857075
