mass_eV,chi,q_disc,probability
0.0181,5.736e-12,534.7941028093754,0.0
0.0181,7.279e-12,534.7941028093754,0.0
0.0181,9.237e-12,534.7941028093754,0.014985014985014986
0.0181,1.1721e-11,534.7941028093754,0.03396603396603397
0.0181,1.4874e-11,534.7941028093754,0.1918081918081918
0.0181,1.8874e-11,534.7941028093754,0.6043956043956044
0.0181,2.395e-11,534.7941028093754,0.939060939060939
0.0181,3.0392e-11,534.7941028093754,1.0
0.0181,3.8566e-11,534.7941028093754,1.0
0.0181,4.8939e-11,534.7941028093754,1.0
0.0181,6.2102e-11,534.7941028093754,1.0
0.0181,7.8805e-11,534.7941028093754,1.0
0.0181,1e-10,534.7941028093754,1.0
0.0188,1e-13,375.4663114540112,0.0
0.0188,1.27e-13,375.4663114540112,0.0
0.0188,1.61e-13,375.4663114540112,0.0
0.0188,2.04e-13,375.4663114540112,0.0
0.0188,2.59e-13,375.4663114540112,0.0
0.0188,3.29e-13,375.4663114540112,0.0
0.0188,4.17e-13,375.4663114540112,0.0
0.0188,5.3e-13,375.4663114540112,0.0
0.0188,6.72e-13,375.4663114540112,0.0
0.0188,8.53e-13,375.4663114540112,0.0
0.0188,1.083e-12,375.4663114540112,0.0
0.0188,1.374e-12,375.4663114540112,0.0
0.0188,1.743e-12,375.4663114540112,0.0
0.0188,2.212e-12,375.4663114540112,0.0
0.0188,2.807e-12,375.4663114540112,0.0
0.0188,3.562e-12,375.4663114540112,0.0
0.0188,4.52e-12,375.4663114540112,0.0
0.0188,5.736e-12,375.4663114540112,0.0
0.0188,7.279e-12,375.4663114540112,0.017982017982017984
0.0188,9.237e-12,375.4663114540112,0.03796203796203796
0.0188,1.1721e-11,375.4663114540112,0.13886113886113885
0.0188,1.4874e-11,375.4663114540112,0.4125874125874126
0.0188,1.8874e-11,375.4663114540112,0.8251748251748252
0.0188,2.395e-11,375.4663114540112,0.987012987012987
0.0188,3.0392e-11,375.4663114540112,1.0
0.0188,3.8566e-11,375.4663114540112,1.0
0.0188,4.8939e-11,375.4663114540112,1.0
0.0188,6.2102e-11,375.4663114540112,1.0
0.0188,7.8805e-11,375.4663114540112,1.0
0.0188,1e-10,375.4663114540112,1.0
0.0195,1e-13,376.5856943540002,0.0
0.0195,1.27e-13,376.5856943540002,0.0
0.0195,1.61e-13,376.5856943540002,0.0
0.0195,2.04e-13,376.5856943540002,0.0
0.0195,2.59e-13,376.5856943540002,0.0
0.0195,3.29e-13,376.5856943540002,0.0
0.0195,4.17e-13,376.5856943540002,0.0
0.0195,5.3e-13,376.5856943540002,0.0
0.0195,6.72e-13,376.5856943540002,0.0
0.0195,8.53e-13,376.5856943540002,0.0
0.0195,1.083e-12,376.5856943540002,0.0
0.0195,1.374e-12,376.5856943540002,0.0
0.0195,1.743e-12,376.5856943540002,0.0
0.0195,2.212e-12,376.5856943540002,0.0
0.0195,2.807e-12,376.5856943540002,0.0
0.0195,3.562e-12,376.5856943540002,0.0
0.0195,4.52e-12,376.5856943540002,0.0
0.0195,5.736e-12,376.5856943540002,0.0
0.0195,7.279e-12,376.5856943540002,0.016983016983016984
0.0195,9.237e-12,376.5856943540002,0.04595404595404595
0.0195,1.1721e-11,376.5856943540002,0.12387612387612387
0.0195,1.4874e-11,376.5856943540002,0.4025974025974026
0.0195,1.8874e-11,376.5856943540002,0.8551448551448552
0.0195,2.395e-11,376.5856943540002,1.0
0.0195,3.0392e-11,376.5856943540002,1.0
0.0195,3.8566e-11,376.5856943540002,1.0
0.0195,4.8939e-11,376.5856943540002,1.0
0.0195,6.2102e-11,376.5856943540002,1.0
0.0195,7.8805e-11,376.5856943540002,1.0
0.0195,1e-10,376.5856943540002,1.0
0.0202,1e-13,356.7522610554585,0.0
0.0202,1.27e-13,356.7522610554585,0.0
0.0202,1.61e-13,356.7522610554585,0.0
0.0202,2.04e-13,356.7522610554585,0.0
0.0202,2.59e-13,356.7522610554585,0.0
0.0202,3.29e-13,356.7522610554585,0.0
0.0202,4.17e-13,356.7522610554585,0.0
0.0202,5.3e-13,356.7522610554585,0.0
0.0202,6.72e-13,356.7522610554585,0.0
0.0202,8.53e-13,356.7522610554585,0.0
0.0202,1.083e-12,356.7522610554585,0.0
0.0202,1.374e-12,356.7522610554585,0.0
0.0202,1.743e-12,356.7522610554585,0.0
0.0202,2.212e-12,356.7522610554585,0.0
0.0202,2.807e-12,356.7522610554585,0.0
0.0202,3.562e-12,356.7522610554585,0.0
0.0202,4.52e-12,356.7522610554585,0.0
0.0202,5.736e-12,356.7522610554585,0.0
0.0202,7.279e-12,356.7522610554585,0.013986013986013986
0.0202,9.237e-12,356.7522610554585,0.04495504495504495
0.0202,1.1721e-11,356.7522610554585,0.13786213786213786
0.0202,1.4874e-11,356.7522610554585,0.4695304695304695
0.0202,1.8874e-11,356.7522610554585,0.8831168831168831
0.0202,2.395e-11,356.7522610554585,1.0
0.0202,3.0392e-11,356.7522610554585,1.0
