mass_eV,chi_1pct,chi_5pct,chi_10pct,chi_20pct,chi_30pct,chi_40pct,chi_50pct,chi_60pct,chi_70pct,chi_80pct,chi_90pct
0.0472,8.074686815519778e-13,1.5592295256304673e-12,1.8108903982168537e-12,2.085397016186513e-12,2.2952315531033654e-12,2.445508955583166e-12,2.6056255821994238e-12,2.776225643791647e-12,2.9791314148048088e-12,3.2016595249809018e-12,3.4408095134576497e-12
0.049,8.348853740698501e-13,1.4942954624609967e-12,1.7500509461485592e-12,1.93133220455689e-12,2.1313917132341325e-12,2.2871381182680613e-12,2.413039716691479e-12,2.545871903328586e-12,2.6860161908336333e-12,2.8662464484191845e-12,3.223486251275856e-12
0.0509,9.741062092012857e-13,1.4188732622403397e-12,1.5909695117559195e-12,1.828369323419964e-12,1.9796769833064982e-12,2.143506187744828e-12,2.289409425174191e-12,2.423481089288543e-12,2.5654042154090952e-12,2.7156385983481364e-12,3.011396152470132e-12
0.0528,1.0251376611482395e-12,1.4477745050582506e-12,1.7042464869920036e-12,1.9112538370205197e-12,2.1100963214286877e-12,2.269550114481697e-12,2.383683403447434e-12,2.503556335511175e-12,2.629457551289419e-12,2.7616902068318105e-12,3.1089031405384444e-12
0.0547,1.256874682140755e-12,1.674113780451797e-12,1.834374653304828e-12,2.0655036314524964e-12,2.266500184695279e-12,2.4008798795363713e-12,2.5432268812003452e-12,2.694013567438058e-12,2.870209593624834e-12,3.102021953794746e-12,3.3525566297310543e-12
0.0558,1.0003172723023043e-12,1.7688755806864569e-12,1.9639572655601002e-12,2.281006278223268e-12,2.449289589308832e-12,2.629988154600527e-12,2.820436474758531e-12,2.9835935573186273e-12,3.156188978174147e-12,3.338768727902875e-12,3.531910381637216e-12
0.0568,8.348853740698501e-13,1.7895441980943557e-12,1.9798715506015055e-12,2.2853653386183996e-12,2.456618289981783e-12,2.640704013793016e-12,2.8348484147142677e-12,3.021470313529616e-12,3.22037778392496e-12,3.4323796016656862e-12,3.821354544039281e-12
0.0589,1.256874682140755e-12,1.9044582505907487e-12,2.2367128435242394e-12,2.472425138011888e-12,2.732977583944778e-12,2.9243234775972787e-12,3.0922682164962875e-12,3.2698580700824957e-12,3.4576469600680956e-12,3.741285087536666e-12,4.1556278309144614e-12
0.0611,1.882408653941353e-12,2.3304441623046698e-12,2.672737902582022e-12,2.974924743394521e-12,3.1930407188555553e-12,3.4271485538945206e-12,3.655109606461023e-12,3.868607611452921e-12,4.094576213237578e-12,4.333743829789551e-12,4.746870825846616e-12
0.0634,1.882408653941353e-12,2.374541868709014e-12,2.8224727327497608e-12,3.1440337562896803e-12,3.5022298518571203e-12,3.720416587142333e-12,3.917459824296403e-12,4.124938999576955e-12,4.3434068282466356e-12,4.643199102232469e-12,5.225064460406149e-12
0.0658,1.7060801428053075e-12,2.9501811920696375e-12,3.3402852965597298e-12,3.762333859869282e-12,4.050564240858444e-12,4.3608757968893064e-12,4.6505262925748664e-12,4.915109934597689e-12,5.1947466048633425e-12,5.49029271935258e-12,5.976954522267264e-12
0.0683,2.698272115976341e-12,3.520875385844814e-12,3.8635135139133814e-12,4.54072366053981e-12,4.8388800137298646e-12,5.156614129759823e-12,5.4952115381638206e-12,5.8544370778268374e-12,6.233606210253359e-12,6.637332653497961e-12,7.0672068891242555e-12
0.0709,3.2045934643919456e-12,3.998777141206061e-12,4.595027633677462e-12,5.090267019296166e-12,5.638881937908523e-12,6.033444512939288e-12,6.4108852707779894e-12,6.81193800107659e-12,7.238079823705874e-12,7.888492467009633e-12,8.619719908697492e-12
0.0735,2.1262944543477958e-12,3.793210097310915e-12,4.569551065474092e-12,5.228655399037671e-12,5.865497947101775e-12,6.299595778884915e-12,6.765820623456815e-12,7.266550159016138e-12,7.772216034448695e-12,8.312228063964515e-12,8.889760022253488e-12
