m_test,lower_2sigma,lower_1sigma,median,upper_1sigma,upper_2sigma,limit
7.629999999999999283e-02,4.314730303738636957e-12,5.820238739672705318e-12,8.212423913352099121e-12,1.105524197346345141e-11,1.338027162493267609e-11,1.100451522816126026e-11
7.920000000000000651e-02,3.544051160595162078e-12,5.063819873662205454e-12,7.126260523884086774e-12,8.715374984139222830e-12,1.047327117571688219e-11,8.958648245930302688e-12
8.209999999999999243e-02,5.141301451507928793e-12,6.965775373823776217e-12,9.329157400598720352e-12,1.113656160203122486e-11,1.292721320821746064e-11,1.135819859181545235e-11
8.519999999999999796e-02,7.759527750860771567e-12,9.960071381250706999e-12,1.224026643476197913e-11,1.434767683283415639e-11,1.628854995566887641e-11,1.443412311650746436e-11
8.840000000000000635e-02,7.897311159931028913e-12,1.014150454400060054e-11,1.253538629002017764e-11,1.430129823505095918e-11,1.597605066217697663e-11,1.425016184422639948e-11
8.999999999999999667e-02,9.289642312645402144e-12,1.149750207837146763e-11,1.409166998473554449e-11,1.624374764123394738e-11,1.817072663778566826e-11,1.598920585756779132e-11
9.170000000000000373e-02,1.021877828532441242e-11,1.242389382924531595e-11,1.534770878601444011e-11,1.727399772910776156e-11,1.920111711911621264e-11,1.716713825139405267e-11
9.450000000000000067e-02,1.012468760885256727e-11,1.243333727731197875e-11,1.473689043839050605e-11,1.687043051447473209e-11,1.879157222995778389e-11,1.657008296394932353e-11
9.520000000000000684e-02,9.967466588976975196e-12,1.204993058661119167e-11,1.451333772549411474e-11,1.661131860612080367e-11,1.853135719164766767e-11,1.640365486188646368e-11
9.869999999999999607e-02,9.528869370227152528e-12,1.167885698803149914e-11,1.396468500028433797e-11,1.622767706449695425e-11,1.810088090890363199e-11,1.559792176462887053e-11
1.021999999999999992e-01,1.390903121905298100e-11,1.697102661851591324e-11,2.026432190204742400e-11,2.320438376472705927e-11,2.614281288148549566e-11,2.242223136172556210e-11
1.024000000000000049e-01,2.512033231368028533e-11,3.181949463375068029e-11,3.790910857349181205e-11,4.379443598539935731e-11,4.864478808904467222e-11,4.220128308218605266e-11
1.024999999999999939e-01,2.931582267470522816e-11,3.580573391447893690e-11,4.304899969969096753e-11,4.931224671327862389e-11,5.496287044162187319e-11,4.689514409255336388e-11
1.029000000000000054e-01,1.123376384658856113e-11,1.357536639853047213e-11,1.666138063162320790e-11,1.927682809960270580e-11,2.150206092638789264e-11,1.851052375703677651e-11
1.062999999999999917e-01,9.812686972732355977e-12,1.186307248454192789e-11,1.444691989184307822e-11,1.659518564761825379e-11,1.846733596408975232e-11,1.588471721043189802e-11
1.089000000000000107e-01,1.301314129771779371e-11,1.594925270916862063e-11,1.899101873850766519e-11,2.139404395109646652e-11,2.411217373085731274e-11,2.081332054449504469e-11
